46,42,51,46,46,51,49,42,46,49,44,54,44,51,46,58,56,44,51,51,42,46,56,46,66,49,61,46,49,61,51,75,44,56,49,49,44,49,63,49,51,58,75,46,42,49,44,46,54,44,49,49,49,46,46,51,63,56,46,44,46,58,49,49,46,46,44,51,46,46,58,42,44,46,51,54,49,61,49,49,46,42,49,46,51,49,66,46,51,42,44,51,56,46,51,42,49,46,49,49,51,49,54,44,51,58,44,49,51,58,42,51,54,51,49,51,42,46,46,46,46,56,42,63,51,49,56,56,51,54,46,54,46,42,49,54,51,44,49,63,49,44,56,46,63,46,46,44,49,44,42,46,49,46,54,51,51,44,46,46,46,56,46,49,51,54,46,49,46,51,42,51,44,42,44,51,49,49,49,51,58,42,51,46,46,51,46,46,46,46,51,44,44,51,44,46,49,63,51,44
44,44,56,44,44,56,51,42,54,46,42,56,46,51,46,54,58,46,54,54,44,46,58,44,61,42,58,49,49,61,51,75,49,58,46,51,42,51,58,49,51,58,75,46,42,51,49,49,54,49,49,51,49,44,49,51,61,54,49,46,51,58,46,51,51,44,46,58,42,49,56,44,46,46,54,56,49,58,49,51,46,44,49,51,46,51,66,46,49,46,44,51,56,46,54,46,51,46,46,44,51,46,56,44,51,58,44,46,51,58,44,51,51,54,51,58,42,46,46,46,46,61,46,61,56,46,58,56,51,51,46,54,44,49,51,51,49,42,49,58,46,42,46,46,63,44,46,44,46,44,42,49,51,46,56,54,56,44,42,44,46,51,49,51,54,51,49,49,46,49,44,51,44,44,44,51,46,51,51,54,58,42,51,46,42,49,46,49,49,51,56,46,44,54,42,44,49,63,51,42
46,42,51,44,42,51,49,46,49,51,44,56,46,49,49,61,58,44,51,49,44,44,58,42,58,46,58,49,49,61,54,75,49,58,46,49,42,46,58,46,54,58,75,46,42,46,46,46,54,49,49,46,46,44,46,51,58,51,44,42,46,58,49,51,51,44,46,51,44,46,54,42,51,42,54,51,46,61,49,49,49,46,49,46,49,49,63,46,49,44,42,51,58,46,51,49,49,49,49,49,51,51,58,44,51,54,42,46,54,56,42,49,51,56,51,54,44,44,46,49,44,54,44,61,56,49,54,56,49,56,46,58,42,44,49,56,51,44,49,58,44,44,51,42,58,46,54,44,44,44,42,46,51,44,54,58,54,46,46,46,46,56,51,49,54,46,49,46,44,51,46,51,49,46,44,51,46,49,49,58,61,42,51,46,42,46,46,51,49,49,51,46,46,54,42,44,51,61,49,42
46,44,46,44,44,54,51,46,46,51,42,56,46,51,44,58,58,42,51,51,46,46,54,44,58,46,63,49,51,61,54,75,46,58,46,49,42,46,54,46,51,61,75,46,42,42,44,44,51,46,49,51,46,46,46,51,58,46,46,44,42,56,44,54,56,42,46,51,49,46,54,44,49,44,54,54,44,63,51,49,46,46,49,42,54,51,63,49,49,46,44,46,58,44,49,46,46,49,42,49,56,51,56,44,51,54,42,46,51,56,44,46,54,49,51,54,44,46,46,44,49,49,46,63,56,51,54,58,54,49,46,54,42,49,46,54,44,46,46,61,46,46,56,46,58,44,51,44,46,42,46,46,49,46,54,56,51,46,44,44,49,58,54,49,56,46,49,51,46,51,51,51,49,44,46,54,46,46,46,58,61,46,49,49,44,46,49,51,46,51,49,44,46,49,44,46,54,63,51,46
51,42,46,46,44,56,51,46,49,51,42,54,46,46,42,58,58,46,49,51,46,44,56,44,54,46,63,51,49,63,51,75,46,58,51,49,46,49,51,46,51,58,75,46,44,44,46,46,54,51,46,51,49,46,46,54,58,44,51,46,46,51,46,54,56,44,46,61,49,46,54,42,51,44,54,54,42,61,49,46,46,46,49,51,54,54,58,49,49,46,42,44,58,46,49,49,46,51,42,49,51,51,54,44,46,56,42,46,51,54,44,44,54,49,51,58,44,46,46,42,46,49,46,61,54,44,54,58,46,46,46,51,44,49,46,51,46,44,44,58,46,49,54,46,58,44,51,42,49,46,42,49,51,46,49,58,56,46,44,51,51,49,51,51,58,46,49,51,51,49,51,49,46,42,46,49,46,49,46,61,58,44,46,49,46,46,46,54,46,49,51,44,42,51,42,44,51,63,51,42
51,49,49,46,49,56,54,46,51,51,46,56,46,51,46,61,61,49,51,51,46,49,58,46,61,46,58,51,51,61,51,75,51,61,46,49,42,54,56,49,54,58,75,49,46,46,49,44,56,51,51,51,54,46,49,58,58,46,51,49,51,51,46,51,56,46,46,58,51,46,58,51,58,51,56,56,46,63,51,46,49,54,49,58,51,54,61,49,51,46,46,49,56,51,51,49,49,49,54,46,56,54,54,46,49,58,49,46,56,56,42,44,58,51,56,58,49,46,49,46,49,51,49,63,56,44,56,61,51,51,46,51,49,49,51,54,46,44,46,58,54,49,54,51,56,46,54,46,51,46,51,49,51,49,49,58,54,44,44,51,49,58,49,54,58,46,51,54,54,51,51,51,51,46,46,51,46,51,46,63,63,46,49,49,46,51,51,54,46,51,51,46,46,58,44,46,49,61,54,46
49,51,51,46,49,54,51,42,51,54,51,56,49,56,46,58,58,44,54,51,49,46,54,46,58,51,68,49,49,66,49,75,54,56,46,51,44,51,54,46,54,61,75,51,44,49,49,44,51,46,54,51,56,46,46,56,63,51,51,44,49,58,44,51,51,46,51,51,56,49,63,51,54,54,58,54,51,68,49,49,49,51,46,46,54,51,70,49,51,46,49,54,51,44,51,49,49,49,51,49,61,56,58,49,49,56,51,49,58,63,44,51,58,49,51,56,51,46,46,46,46,46,46,63,54,49,54,61,51,54,49,49,49,46,51,49,46,46,49,63,51,51,56,54,61,46,51,46,49,49,49,49,54,42,56,56,46,46,44,51,51,63,51,51,58,49,54,51,58,54,46,51,56,49,49,56,46,51,46,54,63,49,49,51,46,51,51,49,46,49,54,44,49,54,46,49,51,63,51,46
56,46,49,49,49,58,54,46,51,51,46,56,49,51,46,58,58,49,51,54,49,44,56,46,54,51,58,54,54,63,54,75,51,58,46,46,46,51,54,49,51,58,75,51,46,49,51,46,58,54,49,51,51,49,46,56,61,49,49,49,46,54,54,51,54,49,51,63,51,49,58,49,56,46,56,58,46,58,51,49,49,51,51,51,56,54,61,49,51,49,46,49,56,46,51,51,51,51,49,49,54,58,56,46,49,58,46,51,51,56,46,44,54,49,56,58,49,46,49,49,49,54,49,63,56,46,58,61,51,46,54,51,46,51,54,51,49,51,46,58,51,54,54,49,58,49,51,46,49,46,44,51,51,49,51,58,56,51,49,46,51,51,49,49,58,49,51,49,58,51,51,51,51,46,46,51,51,54,51,58,58,46,46,51,46,49,46,54,51,51,54,49,46,51,46,46,51,63,46,46
61,51,51,54,51,58,54,49,58,54,46,58,49,51,51,61,61,49,54,56,51,51,58,51,58,56,58,54,49,63,54,75,56,61,51,51,44,54,56,51,58,63,75,56,46,49,54,44,61,54,51,46,56,54,49,56,61,51,54,51,51,58,56,54,56,54,51,61,54,51,58,51,58,51,58,58,51,58,51,51,54,54,54,56,58,51,58,49,54,49,49,51,56,54,54,54,51,51,54,51,56,61,58,51,51,61,51,54,56,58,49,44,58,54,58,58,51,51,54,51,51,56,51,63,58,51,58,61,58,56,58,54,51,54,56,56,54,51,51,58,51,61,58,54,58,56,54,51,51,49,46,54,56,51,56,56,56,54,49,54,51,61,51,51,58,49,54,56,58,54,54,54,56,46,51,56,56,56,49,61,61,49,51,56,49,51,54,56,51,54,58,54,49,58,49,49,51,63,54,54
58,49,51,51,49,54,51,49,51,54,49,58,51,51,49,66,63,46,51,54,51,51,58,54,61,56,63,51,54,66,54,75,54,63,49,58,46,49,58,51,58,63,75,56,46,49,54,46,54,51,56,54,56,54,49,51,66,54,51,49,46,54,51,56,58,51,54,56,58,51,61,51,54,51,56,56,54,66,54,58,54,46,51,49,61,58,63,51,54,51,49,51,58,49,54,51,49,51,46,56,61,61,63,49,51,58,54,51,56,58,46,46,61,54,58,61,51,51,54,54,51,49,51,66,56,58,56,63,54,49,58,54,51,49,58,56,54,54,49,63,49,54,66,56,54,51,54,49,51,46,46,54,54,49,58,58,54,54,51,58,51,63,51,51,63,46,51,49,56,54,54,54,56,46,54,61,56,58,51,61,63,51,51,54,49,51,49,51,54,54,56,51,51,58,51,49,54,66,51,51
63,46,56,51,51,58,51,51,56,56,46,54,56,51,54,68,58,51,58,61,54,49,58,51,58,56,63,58,58,63,56,75,56,58,51,51,51,49,54,58,54,61,75,56,49,58,58,49,49,61,56,51,51,54,56,54,63,54,58,54,51,58,56,56,58,54,56,61,58,51,58,51,54,51,54,61,51,61,51,54,56,46,54,56,58,51,61,54,56,51,46,51,58,51,54,58,51,56,51,54,51,61,58,49,51,54,49,54,56,58,49,44,51,56,63,58,58,46,56,51,51,56,54,63,56,51,54,66,54,51,56,56,51,54,56,56,54,54,46,61,51,56,63,51,58,56,61,51,51,54,49,54,58,51,54,61,56,56,51,58,56,49,54,49,56,46,54,46,51,56,58,51,54,56,56,54,56,58,51,61,61,51,49,58,51,49,51,56,51,49,51,51,51,56,51,51,58,66,46,54
61,49,58,51,58,58,49,51,58,58,51,56,61,56,58,68,61,51,61,63,54,51,56,54,58,56,61,58,63,63,58,75,54,56,51,58,51,51,56,63,58,58,75,56,51,63,58,51,49,66,56,51,51,56,58,51,63,58,56,56,54,56,63,56,58,54,58,63,58,54,61,54,56,51,54,63,54,61,56,56,58,49,54,61,56,54,58,51,56,54,51,58,56,54,56,58,54,54,49,58,54,61,58,54,51,54,51,56,61,58,51,51,51,54,63,54,56,51,54,54,54,51,54,61,56,54,51,63,56,58,58,58,51,56,61,58,51,54,51,63,46,58,61,54,61,54,68,56,51,58,51,56,56,54,58,58,58,54,51,51,58,58,56,46,51,49,56,49,46,56,56,56,58,63,51,58,58,63,51,58,61,54,49,56,49,46,51,56,56,56,54,56,54,61,51,54,61,63,51,54
51,51,56,51,63,51,46,51,56,58,51,56,58,56,58,58,61,51,61,58,49,58,54,51,56,51,61,56,63,63,56,75,54,56,51,58,54,54,51,63,61,58,75,56,51,61,61,46,49,58,63,49,51,54,61,49,63,61,51,56,54,56,63,54,56,51,58,58,54,51,63,51,56,56,54,58,54,58,54,58,58,49,54,54,51,49,63,49,56,51,54,58,54,56,56,51,49,51,44,58,58,54,61,54,49,51,51,51,61,58,49,46,49,51,61,56,51,54,51,54,51,56,51,63,56,58,54,58,56,56,51,49,54,56,61,58,51,49,54,63,49,56,56,51,61,51,66,56,54,54,49,56,54,51,58,56,58,49,51,63,56,56,54,46,51,46,58,44,49,51,51,54,58,63,49,58,54,63,51,56,61,51,49,56,46,49,51,54,51,54,56,56,54,61,51,51,58,63,54,51
51,54,54,51,61,46,46,44,54,58,54,54,54,58,56,58,54,49,58,56,46,58,51,51,49,49,61,49,58,68,49,75,56,54,54,54,51,51,49,61,61,61,75,54,49,56,56,51,44,54,63,51,51,51,56,51,63,58,51,51,51,56,54,56,51,51,56,58,54,51,63,51,51,58,54,56,54,63,51,56,54,51,56,51,56,51,58,51,54,44,58,58,49,51,54,44,51,51,46,54,61,56,61,51,51,51,58,51,63,58,44,51,51,46,54,51,51,51,51,51,54,54,46,63,51,58,51,58,58,51,51,44,58,49,61,54,51,49,56,63,49,56,56,51,58,51,61,56,51,51,49,54,54,46,63,51,51,46,49,66,56,61,51,44,51,44,58,46,51,46,51,51,61,63,49,58,51,61,51,51,63,49,46,58,49,51,51,49,51,58,54,51,58,61,51,56,56,66,54,51
56,51,56,56,58,49,49,42,49,58,56,58,51,58,51,54,51,46,61,58,46,58,46,49,51,56,63,49,58,63,49,75,51,46,56,51,58,49,44,58,58,63,75,51,46,56,51,56,42,58,66,63,54,54,51,49,63,56,54,46,51,58,54,51,46,49,54,54,54,51,68,56,49,54,58,58,54,70,49,56,54,49,58,46,58,63,63,49,51,49,58,58,44,46,56,49,51,56,42,54,63,61,61,51,54,54,49,51,63,63,46,58,51,44,54,49,54,46,51,49,54,61,46,66,56,56,49,54,58,49,54,42,58,46,54,54,56,51,54,63,58,58,58,51,61,51,61,54,51,54,49,51,54,46,63,46,51,51,51,70,51,68,54,42,51,44,61,49,51,51,51,58,56,63,51,56,54,56,56,46,66,49,54,58,51,51,49,51,56,56,56,51,54,51,51,58,58,68,54,46
58,56,63,49,63,56,58,49,56,61,56,56,51,66,51,61,56,54,63,58,49,58,46,46,51,49,63,54,61,63,54,75,56,51,49,56,51,58,44,61,63,58,75,54,49,58,54,56,46,63,61,58,51,54,51,56,61,58,54,51,54,58,56,54,54,51,54,58,58,54,63,54,56,54,56,66,51,56,51,58,58,51,51,63,58,61,63,51,56,49,56,51,51,54,61,56,58,56,44,51,61,58,58,54,56,58,58,51,61,58,49,46,49,54,58,51,54,51,49,49,49,58,51,63,58,51,56,58,56,51,49,49,56,51,56,61,44,51,54,61,56,56,58,51,54,49,63,54,54,61,49,56,58,51,58,51,58,51,49,66,51,58,63,44,49,54,61,46,44,56,51,54,56,68,46,58,51,56,56,54,61,49,51,51,51,54,51,58,56,58,54,56,56,61,49,54,66,66,54,49
58,61,61,54,63,58,58,51,56,61,58,58,58,73,56,61,58,51,63,63,51,61,54,51,61,54,70,51,58,68,51,75,58,56,51,58,51,61,49,63,61,63,75,56,51,61,54,51,49,61,63,49,58,56,54,54,66,63,56,51,58,58,56,61,54,51,56,58,66,56,68,58,56,58,63,61,56,66,51,58,61,54,56,58,61,51,68,51,58,46,61,58,51,58,63,51,61,54,51,54,63,58,63,58,56,58,61,54,63,58,46,51,54,58,58,51,58,56,51,56,51,61,51,66,61,58,58,63,61,56,54,51,61,51,61,66,51,51,58,68,54,56,58,56,58,54,68,54,56,63,54,58,58,51,63,56,54,49,46,63,58,61,68,51,51,56,63,54,51,54,46,56,61,73,49,63,56,63,56,54,66,54,56,54,51,56,56,54,54,58,58,54,58,63,51,56,70,66,56,56
63,61,63,56,63,63,56,54,58,61,56,61,61,68,51,63,58,51,66,66,54,63,54,54,58,51,73,58,63,70,54,75,58,56,56,61,58,58,49,66,61,63,75,51,49,63,54,58,54,63,66,56,54,58,61,51,68,66,63,54,61,63,61,58,58,56,58,58,68,56,66,58,54,56,63,66,61,66,56,58,63,56,56,51,61,58,73,51,56,51,58,63,51,51,61,56,61,58,51,56,68,58,63,58,58,61,61,54,63,63,51,56,56,58,61,51,61,51,56,54,56,66,56,66,58,56,58,63,61,51,51,54,58,56,61,63,58,51,58,68,56,58,56,56,70,54,68,58,54,63,51,58,63,51,68,56,58,51,54,63,61,58,66,51,54,56,61,54,51,56,51,61,61,70,51,61,61,61,61,56,68,56,51,58,56,54,56,56,58,56,58,56,58,61,51,58,70,73,54,58
61,63,61,54,66,66,58,56,61,61,58,58,58,66,54,58,56,56,63,66,56,58,56,58,58,51,63,61,68,70,56,75,58,51,56,58,56,58,49,66,63,61,75,51,51,68,58,58,51,63,63,54,51,56,61,58,66,63,58,58,58,63,58,54,61,58,56,61,66,54,63,58,58,58,61,68,56,58,56,61,63,58,58,61,56,56,66,51,54,51,58,61,54,56,58,61,58,58,51,54,61,58,61,58,54,58,61,51,63,61,54,54,54,56,61,51,66,51,56,56,56,63,58,63,58,54,54,66,58,56,56,54,61,58,58,63,54,51,58,66,56,58,56,54,63,56,70,58,56,63,51,58,63,54,61,56,58,51,51,63,58,58,63,49,49,54,63,51,56,56,56,56,61,70,51,61,58,61,58,58,66,56,56,56,56,54,54,61,61,58,61,58,56,61,51,58,70,70,56,61
63,66,58,51,68,58,56,54,58,61,61,61,58,61,51,51,51,51,58,63,51,61,51,56,58,58,68,56,63,70,58,75,58,49,51,58,56,54,49,66,61,63,75,54,51,63,56,51,54,61,63,51,56,56,58,58,63,63,56,51,56,58,54,54,54,58,56,58,63,51,63,63,58,61,58,63,54,68,56,58,58,58,58,56,58,51,63,54,54,49,63,61,51,54,58,56,61,58,61,56,68,63,63,61,51,56,58,51,63,58,51,51,58,51,56,49,63,54,58,54,54,61,54,66,58,58,51,63,58,54,56,51,63,56,61,61,56,54,54,68,58,61,56,56,63,56,68,56,58,58,51,58,58,51,63,51,54,54,51,61,56,61,58,46,51,51,63,56,61,56,51,56,63,66,54,61,58,58,56,56,68,54,56,56,54,54,56,54,61,58,58,56,58,66,54,58,66,70,54,58
66,70,56,54,63,56,58,54,58,66,63,58,54,61,51,58,56,51,58,63,54,61,54,54,58,58,70,58,61,70,58,75,63,51,54,63,58,54,49,63,61,66,75,56,51,63,54,56,54,61,63,54,56,54,58,61,68,61,54,54,58,61,56,54,54,58,56,58,61,51,63,63,61,63,58,63,61,63,56,61,56,63,58,54,61,54,70,54,51,51,63,61,51,51,61,56,61,61,58,58,70,66,63,58,51,58,61,51,63,63,51,54,61,51,58,49,63,51,54,54,54,58,54,66,58,58,51,61,61,49,56,51,63,54,61,58,54,54,54,68,63,58,61,56,63,54,63,54,61,58,54,56,58,54,66,54,58,54,56,58,58,56,58,46,54,54,63,51,68,58,54,56,63,63,54,61,56,58,54,56,68,54,58,58,54,54,54,51,61,58,66,56,58,58,56,61,61,70,54,58
66,70,56,51,61,58,56,58,61,66,63,58,56,61,51,63,56,54,58,56,51,56,58,51,56,58,66,58,61,66,58,75,63,51,51,61,58,51,51,61,63,63,75,56,54,63,58,54,54,58,63,58,54,58,58,61,63,58,49,56,58,61,63,54,56,58,56,58,61,54,63,63,61,61,56,63,63,61,51,63,56,66,56,63,61,61,66,54,54,51,58,61,51,58,58,61,63,58,63,56,63,63,58,58,51,58,58,54,61,61,51,51,58,56,61,49,66,56,56,54,51,61,54,63,61,61,51,63,58,54,61,54,58,56,61,58,51,56,54,66,56,58,63,54,61,56,66,56,58,63,56,58,61,56,61,56,61,56,54,63,54,58,56,51,51,54,63,51,58,58,56,58,61,63,51,61,58,58,51,56,63,56,54,56,56,51,51,58,58,58,63,58,56,63,54,56,61,70,58,56
63,66,56,51,58,56,51,54,56,68,58,58,56,58,51,56,51,51,58,54,51,54,54,56,56,58,63,58,58,68,56,75,58,49,51,61,54,51,51,58,61,63,75,56,51,63,58,54,51,56,63,49,51,56,56,54,63,56,49,51,58,58,54,51,51,56,54,54,61,51,61,61,58,56,51,58,58,68,51,63,56,61,54,56,56,51,66,54,54,51,58,58,51,54,58,58,56,54,56,56,61,61,61,56,54,58,54,56,63,63,51,51,58,54,56,49,58,54,54,54,51,56,54,63,58,63,49,61,51,56,61,49,56,54,58,58,51,56,54,68,54,58,58,51,56,54,63,54,54,58,54,58,58,51,61,51,54,58,51,63,51,58,56,46,51,51,61,51,56,56,51,58,61,61,56,58,56,56,54,49,68,54,49,54,54,49,51,54,58,54,63,54,54,61,54,54,61,70,54,56
58,58,49,46,56,49,49,51,56,66,54,56,56,49,54,49,54,49,56,56,46,54,54,51,58,51,63,54,51,66,51,75,58,54,51,56,51,49,49,58,61,63,75,54,49,56,58,51,46,56,61,51,51,54,54,51,63,54,49,49,56,51,51,51,51,51,56,54,54,49,61,56,58,54,49,56,56,63,51,58,54,56,54,51,54,51,63,51,51,49,54,54,56,51,56,51,51,54,49,51,63,58,58,51,51,54,46,51,58,61,46,49,56,54,56,46,56,51,54,51,49,46,46,63,56,58,51,54,51,51,51,51,51,51,58,56,51,51,49,63,51,54,51,51,58,51,58,54,56,49,54,56,51,51,58,56,51,51,49,63,51,51,51,46,51,46,58,51,51,49,51,51,61,51,54,61,51,58,49,51,63,54,51,56,51,49,51,51,54,51,58,51,51,58,54,54,56,66,51,54
54,51,49,49,54,49,46,51,54,63,54,58,54,49,56,56,58,49,56,56,46,54,58,51,63,51,61,51,46,66,51,75,56,54,51,63,49,46,51,58,61,63,75,51,51,49,56,49,46,54,58,51,46,51,54,49,63,51,51,46,54,54,51,56,49,51,54,54,51,49,61,46,58,51,54,54,58,63,51,54,51,54,51,51,54,54,61,51,49,44,49,56,58,51,58,49,51,54,49,51,58,54,58,51,51,56,49,49,58,58,46,44,58,56,56,46,54,56,51,51,51,51,46,68,58,58,56,54,54,49,49,54,51,46,58,58,46,51,46,63,51,51,51,49,56,51,56,56,58,44,51,54,54,49,61,58,51,51,46,56,54,56,51,49,54,49,56,54,54,49,46,54,58,46,54,61,51,58,49,54,63,54,51,56,51,49,51,51,49,51,56,51,49,58,51,54,51,68,51,51
56,51,54,56,54,49,49,46,58,63,54,68,56,51,44,58,58,46,58,61,44,54,56,51,63,51,75,51,56,73,56,75,56,51,58,58,56,49,49,61,63,70,75,51,46,56,51,56,51,46,58,66,51,54,58,49,70,54,56,44,54,58,51,51,49,51,58,56,51,49,66,56,56,54,58,54,61,73,56,58,51,54,61,49,56,66,68,51,49,46,56,61,56,44,58,51,51,58,49,51,70,54,63,51,54,58,49,51,58,68,46,54,61,56,58,49,56,58,54,51,58,58,46,70,58,58,54,56,63,46,51,56,58,46,58,58,54,51,44,66,58,54,54,56,66,56,56,51,58,46,51,56,56,49,70,54,51,51,51,46,54,73,54,51,54,49,61,54,61,56,44,58,58,51,54,63,56,61,51,46,73,54,58,61,56,51,51,46,54,63,63,54,54,66,49,58,51,75,61,56
58,61,56,51,58,58,56,58,63,63,58,54,56,58,61,51,58,61,58,63,54,51,51,54,54,58,56,68,63,58,61,75,58,51,56,56,58,56,54,56,54,54,75,51,58,63,58,58,61,63,54,58,51,51,58,58,58,58,56,68,58,54,51,58,54,56,58,61,56,49,63,63,61,56,51,61,58,56,58,58,54,63,61,68,54,61,56,58,51,56,58,44,56,68,63,66,54,61,51,54,56,54,54,51,54,58,58,51,58,63,56,54,54,54,63,58,58,58,58,54,54,58,61,58,58,58,58,58,58,58,56,56,58,68,58,56,56,58,51,63,58,54,56,51,54,56,58,58,56,56,54,63,61,61,54,58,68,51,51,61,66,56,54,54,51,54,61,54,56,51,63,54,61,63,51,58,54,66,54,51,63,61,54,56,58,56,54,58,56,58,63,63,56,61,51,58,54,66,58,54
58,63,58,61,61,56,46,63,63,66,61,51,61,58,58,49,54,61,61,61,49,54,54,63,56,56,51,63,58,58,51,75,63,56,58,54,54,51,49,58,58,61,75,51,61,61,56,54,56,58,61,49,63,54,56,51,61,63,51,66,58,58,56,58,54,63,61,58,56,51,63,68,58,63,54,58,56,66,58,56,54,61,61,56,56,51,61,66,54,54,61,66,46,58,58,63,54,63,56,51,58,56,58,58,54,56,58,51,61,70,51,70,56,51,58,54,63,58,56,58,61,61,61,63,54,61,54,61,61,63,51,51,61,61,58,54,56,51,61,66,56,51,54,54,61,63,63,54,58,54,51,63,63,66,63,51,66,49,46,61,63,66,54,46,51,56,58,51,56,51,56,58,63,63,46,63,54,66,54,49,68,63,51,58,61,54,56,56,54,63,63,58,54,73,49,61,56,61,66,68
51,61,56,51,56,56,44,63,58,58,61,54,56,56,54,51,54,51,58,56,51,51,49,61,46,46,58,61,56,61,51,75,61,54,56,51,58,49,49,56,58,61,75,49,51,61,56,58,51,58,61,51,51,51,54,49,63,63,49,61,58,54,51,51,54,61,58,58,58,51,63,63,58,58,49,58,51,66,58,51,51,56,44,51,51,51,61,61,51,56,58,61,46,54,54,61,51,61,54,51,61,49,54,54,54,54,56,49,61,63,54,61,51,46,58,51,58,56,54,51,56,61,56,63,51,56,49,58,49,56,46,46,56,63,54,51,51,51,56,66,51,51,49,51,58,58,58,56,51,51,54,58,58,63,58,49,63,49,49,58,58,51,51,46,51,51,56,42,51,46,58,51,58,61,44,58,51,58,56,49,66,58,46,56,58,51,51,56,51,56,58,51,51,58,51,56,56,63,51,58
54,63,56,58,56,54,51,63,58,63,63,51,56,58,56,56,56,51,58,56,51,56,51,66,51,51,56,63,58,63,51,75,63,58,61,54,54,51,54,61,58,58,75,51,54,58,58,54,51,63,61,51,51,51,58,51,63,61,49,58,58,54,56,54,54,61,56,63,58,51,63,63,58,56,54,61,54,56,54,51,51,56,51,61,54,54,58,58,54,56,56,56,51,58,58,63,56,58,56,51,56,51,56,51,51,56,61,51,61,51,51,49,54,54,61,58,63,56,56,51,56,56,58,63,54,58,51,63,56,51,51,46,58,58,58,56,56,54,58,66,51,54,51,54,58,58,58,56,56,56,56,58,58,61,63,54,61,49,49,66,56,58,54,49,56,51,56,46,51,49,63,56,58,61,49,58,54,61,51,54,63,58,49,58,56,54,51,56,51,58,61,54,51,66,51,51,58,63,51,58
51,58,56,54,56,56,51,58,58,61,61,54,56,58,56,61,58,51,58,61,49,54,54,61,51,51,54,56,56,61,54,75,61,61,56,51,51,51,49,61,61,58,75,54,51,58,58,49,51,68,58,49,51,51,58,51,63,56,51,51,58,51,54,58,54,58,56,56,58,51,61,58,58,54,54,61,56,54,54,56,56,49,51,54,56,49,54,58,54,54,56,54,54,54,63,58,58,54,54,54,54,54,56,51,49,54,58,51,58,54,51,49,54,63,61,61,58,58,58,51,56,54,54,63,58,61,54,61,51,49,51,54,56,54,58,63,54,56,56,63,51,54,54,51,54,58,61,56,54,51,54,58,56,56,58,56,61,51,51,70,54,54,56,46,61,51,58,49,49,54,61,54,58,58,54,58,56,58,51,54,58,56,51,61,51,51,51,54,51,54,56,51,56,56,54,51,58,63,49,51
54,51,58,58,58,56,46,56,58,61,54,58,61,56,51,66,58,49,58,66,51,56,56,58,58,51,63,58,58,63,58,75,61,58,58,54,51,46,51,63,58,63,75,54,51,56,56,51,46,63,63,51,54,54,61,49,68,61,58,51,51,54,51,61,54,58,58,54,58,51,63,56,56,56,54,61,58,58,56,58,58,46,54,51,58,51,63,58,54,51,61,56,58,51,61,56,58,58,49,56,58,58,61,54,51,56,58,51,58,58,51,46,56,63,61,61,56,58,58,56,58,56,54,66,56,63,54,63,58,51,51,58,58,51,58,66,56,56,54,66,54,54,58,56,56,61,63,58,56,51,51,58,54,54,61,58,56,51,54,63,61,54,58,46,63,51,56,49,51,58,56,54,63,58,54,63,56,58,54,54,63,61,54,61,54,51,56,54,51,54,56,54,58,58,56,58,61,68,46,56
54,54,58,56,61,63,51,56,63,61,54,58,61,56,51,66,63,56,61,66,54,56,58,61,58,49,58,63,63,63,58,75,61,58,61,58,56,51,51,63,58,61,75,51,51,61,56,58,49,63,58,58,51,54,63,56,66,61,63,56,54,56,58,61,58,61,56,61,58,51,63,56,63,54,54,66,56,56,58,58,58,51,56,58,56,58,61,58,54,56,56,58,61,54,58,63,58,58,54,54,54,56,61,56,51,56,56,54,58,58,54,46,54,63,66,63,63,58,58,56,58,61,58,63,61,56,56,68,56,56,54,61,54,61,58,66,61,56,51,63,56,56,54,54,63,58,66,58,58,56,54,61,56,56,58,61,61,51,54,63,58,56,58,51,58,51,58,49,54,58,58,56,58,61,51,61,58,58,56,61,63,56,51,63,56,51,54,58,56,56,58,56,54,58,54,56,63,66,51,56
54,58,58,61,63,63,56,58,63,63,58,61,63,58,58,63,66,54,58,68,56,56,58,61,66,56,63,63,61,66,63,75,63,63,58,58,56,56,56,63,63,63,75,56,51,58,56,56,54,66,61,49,58,56,63,58,68,61,61,56,61,58,58,63,63,61,58,63,58,54,61,58,66,58,58,66,63,66,61,58,61,58,61,56,58,54,66,56,56,58,58,61,70,54,63,63,56,56,58,58,61,58,63,56,51,61,58,54,58,63,56,51,58,63,66,61,63,61,61,56,56,61,58,66,63,61,61,68,61,58,58,63,56,63,58,68,63,58,54,66,56,56,61,56,63,61,68,56,58,58,56,58,58,54,66,63,58,54,54,61,58,70,63,58,61,56,61,56,58,56,58,58,61,61,56,63,61,58,54,66,68,58,51,63,56,54,56,63,58,63,61,58,56,66,56,58,66,68,58,58
56,54,51,56,56,61,56,56,63,63,58,61,61,54,56,68,70,54,54,63,56,54,61,54,68,54,61,63,56,66,63,75,58,63,54,61,54,58,58,61,61,66,75,56,51,51,58,54,56,63,58,54,51,54,58,61,66,54,58,54,63,58,63,68,63,58,56,58,56,51,61,49,66,54,61,63,58,58,58,63,58,58,56,58,51,56,61,54,56,58,51,51,70,56,63,58,58,58,61,61,56,54,63,54,51,63,51,54,58,56,54,46,61,63,66,61,58,58,58,58,51,54,56,68,63,56,61,63,56,58,51,66,51,61,58,66,56,54,51,63,54,56,58,54,56,56,63,56,58,54,54,58,54,54,61,63,58,54,51,61,63,56,63,58,61,56,58,56,58,56,58,54,61,51,54,61,58,58,51,68,61,58,56,58,51,51,54,61,54,56,61,58,51,56,58,54,63,68,54,54
